route,route_type,capability,budget,blocks,capability_drop_pp,overall_drop_pp,vision_speedup_percent,total_speedup_percent,removed_parameters,removed_vision_percent,peak_allocated_mib,repeat,latency_source
route-000-k04,task_specific,attribute,4,8 9 20 25,2.0618556701030966,4.424778761061942,6.861270939893038,2.8686237971582873,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-001-k08,task_specific,attribute,8,5 6 8 9 11 16 20 25,11.855670103092786,21.238938053097346,21.733487403302565,17.00844785006621,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-002-k12,task_specific,attribute,12,3 5 6 8 9 11 16 20 21 22 23 25,17.525773195876294,32.63274336283186,30.638222875650634,18.883183238391887,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-003-k16,task_specific,attribute,16,3 5 6 7 8 9 10 11 13 16 18 20 21 22 23 25,67.5257731958763,50.221238938053105,33.449510070199985,14.30110839707428,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-004-k04,task_specific,counting,4,12 24 28 30,0.0,6.969026548672563,6.782723911889232,1.3878438626019785,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-005-k08,task_specific,counting,8,11 12 17 24 25 27 28 30,12.290502793296088,23.893805309734518,20.48467662780702,15.783245219081188,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-006-k12,task_specific,counting,12,11 12 17 18 20 21 24 25 27 28 29 30,25.139664804469277,35.176991150442475,29.861588875163882,17.61546478409002,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-007-k16,task_specific,counting,16,3 6 9 11 12 17 18 19 20 21 24 25 27 28 29 30,31.28491620111732,42.14601769911505,39.46792914208655,20.114389976968837,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-008-k04,task_specific,object,4,2 9 10 30,-1.7964071856287345,4.867256637168138,6.467367847035987,2.1525681087483317,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-009-k08,task_specific,object,8,2 3 9 10 20 21 23 30,10.179640718562876,24.22566371681416,20.602139026112564,15.354173696342311,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-010-k12,task_specific,object,12,2 3 5 7 9 10 17 20 21 23 25 30,27.544910179640723,35.84070796460177,27.23555408458791,15.022316486887743,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-011-k16,task_specific,object,16,2 3 4 5 6 7 9 10 12 17 20 21 22 23 25 30,39.52095808383233,49.11504424778761,40.38421610501381,20.738963771616948,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-012-k04,task_specific,ocr,4,4 5 9 28,5.94594594594594,2.765486725663713,7.28184346016032,4.410473122064462,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-013-k08,task_specific,ocr,8,4 5 6 8 9 11 25 28,37.29729729729729,21.128318584070794,18.554066148516934,15.239821896365523,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-014-k12,task_specific,ocr,12,2 3 4 5 6 8 9 11 24 25 27 28,71.35135135135135,40.597345132743364,28.26687690370333,16.57283215154117,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-015-k16,task_specific,ocr,16,2 3 4 5 6 8 9 10 11 22 24 25 26 27 28 29,72.97297297297297,47.34513274336283,40.64828816240058,21.348667151620138,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-016-k04,task_specific,spatial,4,3 16 22 29,2.7932960893854775,8.075221238938058,6.516411610711126,1.7720353479732553,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-017-k08,task_specific,spatial,8,3 4 16 19 20 22 26 29,12.849162011173188,22.787610619469024,20.746356400511146,16.139977757127344,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-018-k12,task_specific,spatial,12,3 4 6 10 16 19 20 22 26 28 29 30,22.3463687150838,31.969026548672563,29.360931692953795,18.132142403146467,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-019-k16,task_specific,spatial,16,2 3 4 6 8 10 16 18 19 20 22 25 26 28 29 30,25.698324022346377,41.482300884955755,31.997702892716685,13.296407178025271,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-020-k04,generic_macro,attribute,4,9 24 25 28,1.0309278350515427,4.2035398230088505,6.546783825026292,2.6778993526388684,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-020-k04,generic_macro,counting,4,9 24 25 28,-0.5586592178770999,4.2035398230088505,6.546783825026292,2.6778993526388684,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-020-k04,generic_macro,object,4,9 24 25 28,2.9940119760479056,4.2035398230088505,6.546783825026292,2.6778993526388684,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-020-k04,generic_macro,ocr,4,9 24 25 28,11.891891891891893,4.2035398230088505,6.546783825026292,2.6778993526388684,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-020-k04,generic_macro,spatial,4,9 24 25 28,5.586592178770955,4.2035398230088505,6.546783825026292,2.6778993526388684,78808800,11.785651527077604,7575.427734375,,fixed_clock_audit
route-021-k04,contiguous_macro,attribute,4,25 26 27 28,3.6082474226804107,7.190265486725666,7.552925285973022,3.418886791482878,78808800,11.785651527077604,7575.857421875,,fixed_clock_audit
route-021-k04,contiguous_macro,counting,4,25 26 27 28,2.7932960893854775,7.190265486725666,7.552925285973022,3.418886791482878,78808800,11.785651527077604,7575.857421875,,fixed_clock_audit
route-021-k04,contiguous_macro,object,4,25 26 27 28,10.778443113772463,7.190265486725666,7.552925285973022,3.418886791482878,78808800,11.785651527077604,7575.857421875,,fixed_clock_audit
route-021-k04,contiguous_macro,ocr,4,25 26 27 28,15.135135135135137,7.190265486725666,7.552925285973022,3.418886791482878,78808800,11.785651527077604,7575.857421875,,fixed_clock_audit
route-021-k04,contiguous_macro,spatial,4,25 26 27 28,3.9106145251396662,7.190265486725666,7.552925285973022,3.418886791482878,78808800,11.785651527077604,7575.857421875,,fixed_clock_audit
route-022-k04,random,attribute,4,4 8 15 30,6.185567010309279,19.91150442477876,6.776328201288373,2.736069902509408,78808800,11.785651527077604,7575.427734375,0,fixed_clock_audit
route-022-k04,random,counting,4,4 8 15 30,8.93854748603352,19.91150442477876,6.776328201288373,2.736069902509408,78808800,11.785651527077604,7575.427734375,0,fixed_clock_audit
route-022-k04,random,object,4,4 8 15 30,5.988023952095811,19.91150442477876,6.776328201288373,2.736069902509408,78808800,11.785651527077604,7575.427734375,0,fixed_clock_audit
route-022-k04,random,ocr,4,4 8 15 30,65.94594594594594,19.91150442477876,6.776328201288373,2.736069902509408,78808800,11.785651527077604,7575.427734375,0,fixed_clock_audit
route-022-k04,random,spatial,4,4 8 15 30,11.1731843575419,19.91150442477876,6.776328201288373,2.736069902509408,78808800,11.785651527077604,7575.427734375,0,fixed_clock_audit
route-023-k04,random,attribute,4,1 10 19 30,4.639175257731953,9.07079646017699,7.012475845605359,2.7251669747314633,78808800,11.785651527077604,7575.427734375,1,fixed_clock_audit
route-023-k04,random,counting,4,1 10 19 30,2.7932960893854775,9.07079646017699,7.012475845605359,2.7251669747314633,78808800,11.785651527077604,7575.427734375,1,fixed_clock_audit
route-023-k04,random,object,4,1 10 19 30,4.191616766467066,9.07079646017699,7.012475845605359,2.7251669747314633,78808800,11.785651527077604,7575.427734375,1,fixed_clock_audit
route-023-k04,random,ocr,4,1 10 19 30,29.18918918918919,9.07079646017699,7.012475845605359,2.7251669747314633,78808800,11.785651527077604,7575.427734375,1,fixed_clock_audit
route-023-k04,random,spatial,4,1 10 19 30,3.9106145251396662,9.07079646017699,7.012475845605359,2.7251669747314633,78808800,11.785651527077604,7575.427734375,1,fixed_clock_audit
route-024-k04,random,attribute,4,13 20 21 25,3.0927835051546393,5.420353982300885,5.617433511388992,-1.3213232024474664,78808800,11.785651527077604,7575.427734375,2,fixed_clock_audit
route-024-k04,random,counting,4,13 20 21 25,3.3519553072625663,5.420353982300885,5.617433511388992,-1.3213232024474664,78808800,11.785651527077604,7575.427734375,2,fixed_clock_audit
route-024-k04,random,object,4,13 20 21 25,-0.5988023952095745,5.420353982300885,5.617433511388992,-1.3213232024474664,78808800,11.785651527077604,7575.427734375,2,fixed_clock_audit
route-024-k04,random,ocr,4,13 20 21 25,19.45945945945946,5.420353982300885,5.617433511388992,-1.3213232024474664,78808800,11.785651527077604,7575.427734375,2,fixed_clock_audit
route-024-k04,random,spatial,4,13 20 21 25,1.1173184357541888,5.420353982300885,5.617433511388992,-1.3213232024474664,78808800,11.785651527077604,7575.427734375,2,fixed_clock_audit
route-025-k08,generic_macro,attribute,8,3 5 6 9 20 24 25 28,7.216494845360821,12.721238938053103,20.98161278071209,18.19722045880827,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-025-k08,generic_macro,counting,8,3 5 6 9 20 24 25 28,2.7932960893854775,12.721238938053103,20.98161278071209,18.19722045880827,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-025-k08,generic_macro,object,8,3 5 6 9 20 24 25 28,10.179640718562876,12.721238938053103,20.98161278071209,18.19722045880827,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-025-k08,generic_macro,ocr,8,3 5 6 9 20 24 25 28,32.43243243243243,12.721238938053103,20.98161278071209,18.19722045880827,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-025-k08,generic_macro,spatial,8,3 5 6 9 20 24 25 28,10.61452513966481,12.721238938053103,20.98161278071209,18.19722045880827,157617600,23.57130305415521,7424.40625,,original_dynamic_clock
route-026-k08,contiguous_macro,attribute,8,3 4 5 6 7 8 9 10,43.29896907216495,42.92035398230089,21.772744901527187,16.413474452046906,157617600,23.57130305415521,7424.8359375,,original_dynamic_clock
route-026-k08,contiguous_macro,counting,8,3 4 5 6 7 8 9 10,30.16759776536313,42.92035398230089,21.772744901527187,16.413474452046906,157617600,23.57130305415521,7424.8359375,,original_dynamic_clock
route-026-k08,contiguous_macro,object,8,3 4 5 6 7 8 9 10,38.32335329341318,42.92035398230089,21.772744901527187,16.413474452046906,157617600,23.57130305415521,7424.8359375,,original_dynamic_clock
route-026-k08,contiguous_macro,ocr,8,3 4 5 6 7 8 9 10,71.89189189189189,42.92035398230089,21.772744901527187,16.413474452046906,157617600,23.57130305415521,7424.8359375,,original_dynamic_clock
route-026-k08,contiguous_macro,spatial,8,3 4 5 6 7 8 9 10,29.60893854748604,42.92035398230089,21.772744901527187,16.413474452046906,157617600,23.57130305415521,7424.8359375,,original_dynamic_clock
route-027-k08,random,attribute,8,0 2 4 5 10 11 14 31,58.76288659793815,46.79203539823009,20.590698637996297,15.095463314129208,157617600,23.57130305415521,7424.58203125,0,original_dynamic_clock
route-027-k08,random,counting,8,0 2 4 5 10 11 14 31,38.547486033519554,46.79203539823009,20.590698637996297,15.095463314129208,157617600,23.57130305415521,7424.58203125,0,original_dynamic_clock
route-027-k08,random,object,8,0 2 4 5 10 11 14 31,35.92814371257486,46.79203539823009,20.590698637996297,15.095463314129208,157617600,23.57130305415521,7424.58203125,0,original_dynamic_clock
route-027-k08,random,ocr,8,0 2 4 5 10 11 14 31,72.97297297297297,46.79203539823009,20.590698637996297,15.095463314129208,157617600,23.57130305415521,7424.58203125,0,original_dynamic_clock
route-027-k08,random,spatial,8,0 2 4 5 10 11 14 31,25.139664804469277,46.79203539823009,20.590698637996297,15.095463314129208,157617600,23.57130305415521,7424.58203125,0,original_dynamic_clock
route-028-k08,random,attribute,8,1 3 5 11 13 14 15 17,44.329896907216494,43.80530973451327,20.77190623649585,15.73496367985021,157617600,23.57130305415521,7424.40625,1,original_dynamic_clock
route-028-k08,random,counting,8,1 3 5 11 13 14 15 17,42.45810055865922,43.80530973451327,20.77190623649585,15.73496367985021,157617600,23.57130305415521,7424.40625,1,original_dynamic_clock
route-028-k08,random,object,8,1 3 5 11 13 14 15 17,31.137724550898206,43.80530973451327,20.77190623649585,15.73496367985021,157617600,23.57130305415521,7424.40625,1,original_dynamic_clock
route-028-k08,random,ocr,8,1 3 5 11 13 14 15 17,71.89189189189189,43.80530973451327,20.77190623649585,15.73496367985021,157617600,23.57130305415521,7424.40625,1,original_dynamic_clock
route-028-k08,random,spatial,8,1 3 5 11 13 14 15 17,27.37430167597765,43.80530973451327,20.77190623649585,15.73496367985021,157617600,23.57130305415521,7424.40625,1,original_dynamic_clock
route-029-k08,random,attribute,8,1 7 8 9 18 19 25 30,12.886597938144329,22.455752212389378,10.111479386201495,6.172901312254164,157617600,23.57130305415521,7424.40625,2,original_dynamic_clock
route-029-k08,random,counting,8,1 7 8 9 18 19 25 30,6.145251396648044,22.455752212389378,10.111479386201495,6.172901312254164,157617600,23.57130305415521,7424.40625,2,original_dynamic_clock
route-029-k08,random,object,8,1 7 8 9 18 19 25 30,14.970059880239528,22.455752212389378,10.111479386201495,6.172901312254164,157617600,23.57130305415521,7424.40625,2,original_dynamic_clock
route-029-k08,random,ocr,8,1 7 8 9 18 19 25 30,60.0,22.455752212389378,10.111479386201495,6.172901312254164,157617600,23.57130305415521,7424.40625,2,original_dynamic_clock
route-029-k08,random,spatial,8,1 7 8 9 18 19 25 30,17.318435754189952,22.455752212389378,10.111479386201495,6.172901312254164,157617600,23.57130305415521,7424.40625,2,original_dynamic_clock
route-030-k12,generic_macro,attribute,12,3 4 5 6 9 10 11 20 24 25 28 30,22.164948453608247,32.85398230088495,30.12227638738654,19.15545037969948,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-030-k12,generic_macro,counting,12,3 4 5 6 9 10 11 20 24 25 28 30,24.022346368715088,32.85398230088495,30.12227638738654,19.15545037969948,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-030-k12,generic_macro,object,12,3 4 5 6 9 10 11 20 24 25 28 30,22.1556886227545,32.85398230088495,30.12227638738654,19.15545037969948,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-030-k12,generic_macro,ocr,12,3 4 5 6 9 10 11 20 24 25 28 30,68.64864864864865,32.85398230088495,30.12227638738654,19.15545037969948,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-030-k12,generic_macro,spatial,12,3 4 5 6 9 10 11 20 24 25 28 30,26.256983240223462,32.85398230088495,30.12227638738654,19.15545037969948,236426400,35.35695458123281,7273.384765625,,original_dynamic_clock
route-031-k12,contiguous_macro,attribute,12,2 3 4 5 6 7 8 9 10 11 12 13,68.04123711340206,51.1061946902655,27.49036554157087,16.46544112702044,236426400,35.35695458123281,7273.814453125,,original_dynamic_clock
route-031-k12,contiguous_macro,counting,12,2 3 4 5 6 7 8 9 10 11 12 13,42.45810055865922,51.1061946902655,27.49036554157087,16.46544112702044,236426400,35.35695458123281,7273.814453125,,original_dynamic_clock
route-031-k12,contiguous_macro,object,12,2 3 4 5 6 7 8 9 10 11 12 13,39.52095808383233,51.1061946902655,27.49036554157087,16.46544112702044,236426400,35.35695458123281,7273.814453125,,original_dynamic_clock
route-031-k12,contiguous_macro,ocr,12,2 3 4 5 6 7 8 9 10 11 12 13,72.97297297297297,51.1061946902655,27.49036554157087,16.46544112702044,236426400,35.35695458123281,7273.814453125,,original_dynamic_clock
route-031-k12,contiguous_macro,spatial,12,2 3 4 5 6 7 8 9 10 11 12 13,29.60893854748604,51.1061946902655,27.49036554157087,16.46544112702044,236426400,35.35695458123281,7273.814453125,,original_dynamic_clock
route-032-k12,random,attribute,12,0 2 5 15 16 17 18 20 21 23 24 28,63.91752577319587,49.557522123893804,27.447465922975532,15.345410298829743,236426400,35.35695458123281,7273.560546875,0,original_dynamic_clock
route-032-k12,random,counting,12,0 2 5 15 16 17 18 20 21 23 24 28,40.22346368715084,49.557522123893804,27.447465922975532,15.345410298829743,236426400,35.35695458123281,7273.560546875,0,original_dynamic_clock
route-032-k12,random,object,12,0 2 5 15 16 17 18 20 21 23 24 28,38.92215568862276,49.557522123893804,27.447465922975532,15.345410298829743,236426400,35.35695458123281,7273.560546875,0,original_dynamic_clock
route-032-k12,random,ocr,12,0 2 5 15 16 17 18 20 21 23 24 28,72.97297297297297,49.557522123893804,27.447465922975532,15.345410298829743,236426400,35.35695458123281,7273.560546875,0,original_dynamic_clock
route-032-k12,random,spatial,12,0 2 5 15 16 17 18 20 21 23 24 28,29.05027932960894,49.557522123893804,27.447465922975532,15.345410298829743,236426400,35.35695458123281,7273.560546875,0,original_dynamic_clock
route-033-k12,random,attribute,12,2 5 6 8 9 10 14 19 21 24 26 27,37.11340206185567,40.48672566371682,28.26782762916853,18.135488049336246,236426400,35.35695458123281,7273.384765625,1,original_dynamic_clock
route-033-k12,random,counting,12,2 5 6 8 9 10 14 19 21 24 26 27,32.960893854748605,40.48672566371682,28.26782762916853,18.135488049336246,236426400,35.35695458123281,7273.384765625,1,original_dynamic_clock
route-033-k12,random,object,12,2 5 6 8 9 10 14 19 21 24 26 27,28.143712574850298,40.48672566371682,28.26782762916853,18.135488049336246,236426400,35.35695458123281,7273.384765625,1,original_dynamic_clock
route-033-k12,random,ocr,12,2 5 6 8 9 10 14 19 21 24 26 27,72.97297297297297,40.48672566371682,28.26782762916853,18.135488049336246,236426400,35.35695458123281,7273.384765625,1,original_dynamic_clock
route-033-k12,random,spatial,12,2 5 6 8 9 10 14 19 21 24 26 27,29.60893854748604,40.48672566371682,28.26782762916853,18.135488049336246,236426400,35.35695458123281,7273.384765625,1,original_dynamic_clock
route-034-k12,random,attribute,12,1 6 7 8 10 13 16 20 21 23 27 28,25.773195876288657,36.61504424778761,29.763719070729522,18.372082115946654,236426400,35.35695458123281,7273.384765625,2,original_dynamic_clock
route-034-k12,random,counting,12,1 6 7 8 10 13 16 20 21 23 27 28,32.960893854748605,36.61504424778761,29.763719070729522,18.372082115946654,236426400,35.35695458123281,7273.384765625,2,original_dynamic_clock
route-034-k12,random,object,12,1 6 7 8 10 13 16 20 21 23 27 28,22.1556886227545,36.61504424778761,29.763719070729522,18.372082115946654,236426400,35.35695458123281,7273.384765625,2,original_dynamic_clock
route-034-k12,random,ocr,12,1 6 7 8 10 13 16 20 21 23 27 28,71.89189189189189,36.61504424778761,29.763719070729522,18.372082115946654,236426400,35.35695458123281,7273.384765625,2,original_dynamic_clock
route-034-k12,random,spatial,12,1 6 7 8 10 13 16 20 21 23 27 28,29.05027932960894,36.61504424778761,29.763719070729522,18.372082115946654,236426400,35.35695458123281,7273.384765625,2,original_dynamic_clock
route-035-k16,generic_macro,attribute,16,3 4 5 6 8 9 10 11 12 20 22 24 25 27 28 30,52.57731958762887,45.79646017699115,39.14930765458835,21.520920484201067,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-035-k16,generic_macro,counting,16,3 4 5 6 8 9 10 11 12 20 22 24 25 27 28 30,34.07821229050279,45.79646017699115,39.14930765458835,21.520920484201067,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
route-035-k16,generic_macro,object,16,3 4 5 6 8 9 10 11 12 20 22 24 25 27 28 30,38.32335329341318,45.79646017699115,39.14930765458835,21.520920484201067,315235200,47.14260610831042,7122.36328125,,original_dynamic_clock
